City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Songjianghe,CN,42.1859,127.479,57.96,80,98,3.91,overcast clouds
79,Nome,US,64.5011,-165.4064,73.17,32,0,10.36,clear sky
80,Raudeberg,NO,61.9875,5.1352,54.27,87,100,21.81,overcast clouds
81,Itarema,BR,-2.9248,-39.9167,75.33,89,50,6.78,scattered clouds
82,Kishi,NG,9.0833,3.85,74.82,76,86,3.8,overcast clouds
83,Warri,NG,5.5167,5.75,75.81,91,100,2.71,overcast clouds
84,Cordoba,AR,-31.4135,-64.1811,60.76,64,0,6.91,clear sky
85,Beloha,MG,-25.1667,45.05,63.41,78,23,9.75,few clouds
86,Carnarvon,AU,-24.8667,113.6333,66.27,77,40,23.02,moderate rain
87,Touros,BR,-5.1989,-35.4608,75.7,82,100,9.6,overcast clouds
88,Noyabrsk,RU,63.1994,75.4507,51.94,52,5,14.88,clear sky
89,Gamba,GA,-2.65,10.0,72.97,95,100,2.44,overcast clouds
90,Kidal,ML,18.4411,1.4078,89.04,19,5,4.56,clear sky
91,Souillac,MU,-20.5167,57.5167,70.18,94,40,3.44,scattered clouds
92,Kedgwick,CA,47.6446,-67.3434,57.58,75,100,4.41,overcast clouds
93,Muzhi,RU,65.3667,64.6667,56.03,48,8,9.62,clear sky
94,Chuy,UY,-33.6971,-53.4616,53.17,94,70,4.9,broken clouds
95,Guerrero Negro,MX,27.9769,-114.0611,67.26,74,79,19.53,broken clouds
96,Severo-Kurilsk,RU,50.6789,156.125,45.52,82,93,11.61,overcast clouds
97,Alanya,TR,36.5438,31.9998,69.93,78,0,4.38,clear sky
98,Coihaique,CL,-45.5752,-72.0662,45.21,76,75,3.44,broken clouds
99,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,95,100,6.35,overcast clouds
100,Ixtapa,MX,20.7,-105.2,81.63,69,20,9.22,few clouds
101,Port Elizabeth,ZA,-33.918,25.5701,60.31,62,0,6.91,clear sky
102,Ankpa,NG,7.3706,7.6253,71.46,89,100,6.13,overcast clouds
103,Bredasdorp,ZA,-34.5322,20.0403,61.63,35,9,5.82,clear sky
104,Pacific Grove,US,36.6177,-121.9166,78.39,71,0,11.5,clear sky
105,Lavrentiya,RU,65.5833,-171.0,45.54,59,5,2.19,clear sky
106,Ambanja,MG,-13.6833,48.45,69.76,82,6,3.62,clear sky
107,Ust-Kulom,RU,61.6864,53.6902,49.53,60,99,8.77,overcast clouds
108,Puerto Escondido,MX,15.85,-97.0667,81.54,77,47,5.53,scattered clouds
109,Teya,RU,60.3778,92.6267,49.78,64,100,2.44,overcast clouds
110,Najran,SA,17.4924,44.1277,75.85,13,100,1.77,overcast clouds
111,Senanga,ZM,-16.1167,23.2667,50.56,70,0,5.7,clear sky
112,Geraldton,AU,-28.7667,114.6,66.61,39,100,32.21,light rain
113,Hilo,US,19.7297,-155.09,90.28,69,40,10.36,scattered clouds
114,Catacamas,HN,14.8,-85.9,74.89,93,100,4.16,overcast clouds
115,Ilulissat,GL,69.2167,-51.1,39.22,70,0,4.61,clear sky
116,Myitkyina,MM,25.3833,97.4,75.15,98,100,0.67,overcast clouds
117,Burgeo,CA,47.6167,-57.6152,49.93,69,2,8.79,clear sky
118,Avarua,CK,-21.2078,-159.775,80.65,69,20,6.91,few clouds
119,Riyadh,SA,24.6877,46.7219,86.14,9,1,6.6,clear sky
120,Xam Nua,LA,20.4197,104.0439,68.52,98,100,1.68,overcast clouds
121,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,54,0,9.22,clear sky
